Phylum,Genus,Sample_ID,Abundance,Group
Outros,Outros,A10,9,TEA
Outros,Outros,A10,4,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,110,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,23,TEA
Outros,Outros,A10,391,TEA
Outros,Outros,A10,31,TEA
Outros,Outros,A10,439,TEA
Outros,Outros,A10,14,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,80,TEA
Outros,Outros,A10,196,TEA
Outros,Outros,A10,38,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,134,TEA
Outros,Outros,A10,332,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,10,TEA
Outros,Outros,A10,22,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,84,TEA
Outros,Outros,A10,14,TEA
Outros,Outros,A10,99,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,130,TEA
Outros,Outros,A10,5,TEA
Outros,Outros,A10,42,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,14,TEA
Outros,Outros,A10,83,TEA
Outros,Outros,A10,60,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,67,TEA
Outros,Outros,A10,44,TEA
Outros,Outros,A10,10,TEA
Outros,Outros,A10,32,TEA
Outros,Outros,A10,214,TEA
Outros,Outros,A10,99,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,4,TEA
Outros,Outros,A10,16,TEA
Outros,Outros,A10,132,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,47,TEA
Outros,Outros,A10,43,TEA
Outros,Outros,A10,6,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,428,TEA
Outros,Outros,A10,2327,TEA
Outros,Outros,A10,153,TEA
Outros,Outros,A10,10,TEA
Outros,Outros,A10,4,TEA
Outros,Outros,A10,1142,TEA
Outros,Outros,A10,27,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,138,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,39,TEA
Outros,Outros,A10,6,TEA
Outros,Outros,A10,3,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,4,TEA
Outros,Outros,A10,5,TEA
Outros,Outros,A10,15,TEA
Outros,Outros,A10,8,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,8,TEA
Outros,Outros,A10,2,TEA
Outros,Outros,A10,56,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,18,TEA
Outros,Outros,A10,1,TEA
Outros,Outros,A10,12,TEA
Outros,Outros,A10,15,TEA
Outros,Outros,A10,1,TEA
